REGION,PREFECTURE,COMMUNE,CANTON,LOCALITE,parent_id,division_id,division_slug
Savanes,Oti,Oti 1,Mango,,CM-PD3HBY,CC-BON6W4,savanes.oti.oti-1.mango
Savanes,Oti,Oti 1,Sadori,,CM-PD3HBY,CC-M3BWSZ,savanes.oti.oti-1.sadori
Savanes,Oti,Oti 2,Barkoissi,,CM-GUX6RX,CC-6R7EY5,savanes.oti.oti-2.barkoissi
Savanes,Oti,Oti 2,Galangashie,,CM-GUX6RX,CC-NMIFAX,savanes.oti.oti-2.galangashie
Savanes,Oti,Oti 2,Loko,,CM-GUX6RX,CC-IBC5WE,savanes.oti.oti-2.loko
Savanes,Oti,Oti 2,Nagbéni,,CM-GUX6RX,CC-NQHZK6,savanes.oti.oti-2.nagbeni
Savanes,Oti,Oti 2,Tchanaga,,CM-GUX6RX,CC-ZAKP7B,savanes.oti.oti-2.tchanaga
Savanes,Oti Sud,Oti Sud 1,Gando,,CM-JFBB3E,CC-BNU7BH,savanes.oti-sud.oti-sud-1.gando
Savanes,Oti Sud,Oti Sud 1,Mogou,,CM-JFBB3E,CC-ERYAK5,savanes.oti-sud.oti-sud-1.mogou
Savanes,Oti Sud,Oti Sud 1,Sagbiébou,,CM-JFBB3E,CC-GUN6FA,savanes.oti-sud.oti-sud-1.sagbiebou
Savanes,Oti Sud,Oti Sud 1,Tchamonga,,CM-JFBB3E,CC-WJL2O6,savanes.oti-sud.oti-sud-1.tchamonga
Savanes,Oti Sud,Oti Sud 2,Koumongou,,CM-ZBWTXH,CC-NZQYFE,savanes.oti-sud.oti-sud-2.koumongou
Savanes,Oti Sud,Oti Sud 2,Kountoiré,,CM-ZBWTXH,CC-MITNEL,savanes.oti-sud.oti-sud-2.kountoire
Savanes,Oti Sud,Oti Sud 2,Nali,,CM-ZBWTXH,CC-GPFZIY,savanes.oti-sud.oti-sud-2.nali
Savanes,Oti Sud,Oti Sud 2,Takpamba,,CM-ZBWTXH,CC-QTKVAN,savanes.oti-sud.oti-sud-2.takpamba
Centrale,Sotouboua,Sotouboua 1,Kaniamboua,,CM-YBUFMO,CC-4VAAN3,centrale.sotouboua.sotouboua-1.kaniamboua
Centrale,Sotouboua,Sotouboua 1,Sotouboua,,CM-YBUFMO,CC-PAX5OI,centrale.sotouboua.sotouboua-1.sotouboua
Centrale,Sotouboua,Sotouboua 1,Tabindè,,CM-YBUFMO,CC-ETBB7G,centrale.sotouboua.sotouboua-1.tabinde
Centrale,Sotouboua,Sotouboua 2,Adjengre,,CM-Y42OL6,CC-U4HIFD,centrale.sotouboua.sotouboua-2.adjengre
Centrale,Sotouboua,Sotouboua 2,Aouda,,CM-Y42OL6,CC-6P4ETM,centrale.sotouboua.sotouboua-2.aouda
Centrale,Sotouboua,Sotouboua 2,Fazao,,CM-Y42OL6,CC-VNJP2L,centrale.sotouboua.sotouboua-2.fazao
Centrale,Sotouboua,Sotouboua 2,Séssaro,,CM-Y42OL6,CC-GG2IGL,centrale.sotouboua.sotouboua-2.sessaro
Centrale,Sotouboua,Sotouboua 2,Titigbe,,CM-Y42OL6,CC-ZK7E5A,centrale.sotouboua.sotouboua-2.titigbe
Centrale,Sotouboua,Sotouboua 3,Bodjondè,,CM-DC7DNS,CC-4EQG7D,centrale.sotouboua.sotouboua-3.bodjonde
Centrale,Sotouboua,Sotouboua 3,Kazaboua,,CM-DC7DNS,CC-2OA6AS,centrale.sotouboua.sotouboua-3.kazaboua
Centrale,Sotouboua,Sotouboua 3,Tchebebe,,CM-DC7DNS,CC-KC5VDG,centrale.sotouboua.sotouboua-3.tchebebe
Savanes,Tandjoare,Tandjoare 1,Bogou,,CM-FXLK7W,CC-JVNXA3,savanes.tandjoare.tandjoare-1.bogou
Savanes,Tandjoare,Tandjoare 1,Bombouaka,,CM-FXLK7W,CC-BV3FDF,savanes.tandjoare.tandjoare-1.bombouaka
Savanes,Tandjoare,Tandjoare 1,Boulogou,,CM-FXLK7W,CC-QP56V5,savanes.tandjoare.tandjoare-1.boulogou
Savanes,Tandjoare,Tandjoare 1,Goundoga,,CM-FXLK7W,CC-337NF2,savanes.tandjoare.tandjoare-1.goundoga
Centrale,Tchamba,Tchamba 3,Goubi,,CM-AWQVTY,CC-F3XFT3,centrale.tchamba.tchamba-3.goubi
Centrale,Tchamba,Tchamba 3,Kaboli,,CM-AWQVTY,CC-UZX2H3,centrale.tchamba.tchamba-3.kaboli
Centrale,Tchaoudjo,Tchaoudjo 1,Kadambara,,CM-26ABF7,CC-5NS3KV,centrale.tchaoudjo.tchaoudjo-1.kadambara
Centrale,Tchaoudjo,Tchaoudjo 1,Kpangalam,,CM-26ABF7,CC-N56SLF,centrale.tchaoudjo.tchaoudjo-1.kpangalam
Centrale,Tchaoudjo,Tchaoudjo 1,Kparatao,,CM-26ABF7,CC-IMVICM,centrale.tchaoudjo.tchaoudjo-1.kparatao
Centrale,Tchaoudjo,Tchaoudjo 1,Komah sokodé,,CM-26ABF7,CC-S5UW4D,centrale.tchaoudjo.tchaoudjo-1.komah-sokode
Centrale,Tchaoudjo,Tchaoudjo 1,Tchalo,,CM-26ABF7,CC-NW2DKC,centrale.tchaoudjo.tchaoudjo-1.tchalo
Centrale,Tchaoudjo,Tchaoudjo 2,Lama-Tessi,,CM-2HNRS2,CC-F3BLJZ,centrale.tchaoudjo.tchaoudjo-2.lama-tessi
Centrale,Tchaoudjo,Tchaoudjo 3,Aléhéridè,,CM-GMVYFT,CC-SIIVYT,centrale.tchaoudjo.tchaoudjo-3.aleheride
Centrale,Tchaoudjo,Tchaoudjo 3,Amaïdè,,CM-GMVYFT,CC-Y2KJ46,centrale.tchaoudjo.tchaoudjo-3.amaide
Centrale,Tchaoudjo,Tchaoudjo 3,Kemeni,,CM-GMVYFT,CC-H5PJTI,centrale.tchaoudjo.tchaoudjo-3.kemeni
Centrale,Tchaoudjo,Tchaoudjo 3,Kolina,,CM-GMVYFT,CC-O2XXND,centrale.tchaoudjo.tchaoudjo-3.kolina
Centrale,Tchaoudjo,Tchaoudjo 4,Agoulou,,CM-QPI4D6,CC-L4WCV4,centrale.tchaoudjo.tchaoudjo-4.agoulou
Centrale,Tchaoudjo,Tchaoudjo 4,Kpassouadè,,CM-QPI4D6,CC-WC3BP6,centrale.tchaoudjo.tchaoudjo-4.kpassouade
Centrale,Tchaoudjo,Tchaoudjo 4,Wassarabo,,CM-QPI4D6,CC-ENPNEH,centrale.tchaoudjo.tchaoudjo-4.wassarabo
Savanes,Tone,Tone 1,Bidjenga,,CM-XPQARH,CC-RLULE2,savanes.tone.tone-1.bidjenga
Savanes,Tone,Tone 1,Dapaong,,CM-XPQARH,CC-ORZUL4,savanes.tone.tone-1.dapaong
Savanes,Tone,Tone 1,Kourientre,,CM-XPQARH,CC-OMAJTP,savanes.tone.tone-1.kourientre
Savanes,Tone,Tone 1,Natigou,,CM-XPQARH,CC-I4LRVU,savanes.tone.tone-1.natigou
Savanes,Tone,Tone 1,Pana,,CM-XPQARH,CC-UBAUFJ,savanes.tone.tone-1.pana
Savanes,Tone,Tone 1,Poissongui,,CM-XPQARH,CC-ISRHDT,savanes.tone.tone-1.poissongui
Savanes,Tone,Tone 1,Toaga,,CM-XPQARH,CC-ES5V24,savanes.tone.tone-1.toaga
Savanes,Tone,Tone 2,Naki-Ouest,,CM-FOKMB3,CC-YPKNCT,savanes.tone.tone-2.naki-ouest
Savanes,Tone,Tone 2,Namaré,,CM-FOKMB3,CC-GAJ4GT,savanes.tone.tone-2.namare
Savanes,Tone,Tone 2,Nanergou,,CM-FOKMB3,CC-E3MZQS,savanes.tone.tone-2.nanergou
Savanes,Tone,Tone 3,Lotogou,,CM-IO6MQ4,CC-TCZZNJ,savanes.tone.tone-3.lotogou
Savanes,Tone,Tone 3,Nioukpourma,,CM-IO6MQ4,CC-EYNVDK,savanes.tone.tone-3.nioukpourma
Savanes,Tone,Tone 3,Tami,,CM-IO6MQ4,CC-QKCOBR,savanes.tone.tone-3.tami
Savanes,Tone,Tone 3,Warkambou,,CM-IO6MQ4,CC-J5UAHC,savanes.tone.tone-3.warkambou
Savanes,Tone,Tone 4,Kantindi,,CM-ST57MG,CC-RGCKK7,savanes.tone.tone-4.kantindi
Savanes,Tone,Tone 4,Korbongou,,CM-ST57MG,CC-XQZNCY,savanes.tone.tone-4.korbongou
Savanes,Tone,Tone 4,Louanga,,CM-ST57MG,CC-G3ZVTZ,savanes.tone.tone-4.louanga
Savanes,Tone,Tone 4,Sanfatoute,,CM-ST57MG,CC-OSEWLQ,savanes.tone.tone-4.sanfatoute
Maritime,Vo,Vo 1,Vogan,,CM-UV5JZD,CC-UWSKHD,maritime.vo.vo-1.vogan
Maritime,Vo,Vo 1,Vo-Koutimé,,CM-UV5JZD,CC-ZPXGUP,maritime.vo.vo-1.vo-koutime
Maritime,Vo,Vo 2,Agnronkopé,,CM-SOQG3H,CC-XZE4LM,maritime.vo.vo-2.agnronkope
Maritime,Vo,Vo 2,Togoville,,CM-SOQG3H,CC-UCKLYJ,maritime.vo.vo-2.togoville
Maritime,Vo,Vo 3,Dagbati,,CM-BBZDKO,CC-Z4P4HP,maritime.vo.vo-3.dagbati
Maritime,Vo,Vo 3,Dzrékpo,,CM-BBZDKO,CC-ZZIXMP,maritime.vo.vo-3.dzrekpo
Maritime,Vo,Vo 3,Momé-Hounkpati,,CM-BBZDKO,CC-RCQ35A,maritime.vo.vo-3.mome-hounkpati
Maritime,Vo,Vo 4,Akoumapé,,CM-MDJ5DV,CC-UT7VJS,maritime.vo.vo-4.akoumape
Maritime,Vo,Vo 4,Hahotoé,,CM-MDJ5DV,CC-EDJI7F,maritime.vo.vo-4.hahotoe
Maritime,Vo,Vo 4,Sévagan,,CM-MDJ5DV,CC-CTO2NC,maritime.vo.vo-4.sevagan
Plateaux,Wawa,Wawa 1,Badou,,CM-TGJMLE,CC-QSWJ2K,plateaux.wawa.wawa-1.badou
Plateaux,Wawa,Wawa 1,Késsibo,,CM-TGJMLE,CC-4MXSCG,plateaux.wawa.wawa-1.kessibo
Plateaux,Wawa,Wawa 1,Kpété-Béna,,CM-TGJMLE,CC-CDIHUQ,plateaux.wawa.wawa-1.kpete-bena
Plateaux,Wawa,Wawa 1,Tomégbé,,CM-TGJMLE,CC-WRJ3ND,plateaux.wawa.wawa-1.tomegbe
Plateaux,Wawa,Wawa 2,Ekéto,,CM-RH7J4D,CC-M6RLE7,plateaux.wawa.wawa-2.eketo
Plateaux,Wawa,Wawa 2,Gbadi-N'Kugna,,CM-RH7J4D,CC-2JKA4L,plateaux.wawa.wawa-2.gbadi-n-kugna
Plateaux,Wawa,Wawa 2,Gobé,,CM-RH7J4D,CC-R2433T,plateaux.wawa.wawa-2.gobe
Plateaux,Wawa,Wawa 3,Doumé,,CM-S4ZEFR,CC-TPOD6N,plateaux.wawa.wawa-3.doume
Plateaux,Wawa,Wawa 3,Klabè-Efoukpa,,CM-S4ZEFR,CC-QGDVG4,plateaux.wawa.wawa-3.klabe-efoukpa
Plateaux,Wawa,Wawa 3,Okou,,CM-S4ZEFR,CC-4RCH4X,plateaux.wawa.wawa-3.okou
Plateaux,Wawa,Wawa 3,Ounabé,,CM-S4ZEFR,CC-JFUUTZ,plateaux.wawa.wawa-3.ounabe
Plateaux,Wawa,Wawa 3,Zogbegan,,CM-S4ZEFR,CC-YV3TX4,plateaux.wawa.wawa-3.zogbegan
Maritime,Yoto,Yoto 1,Amoussimé,,CM-ZUAEI7,CC-TXW3OC,maritime.yoto.yoto-1.amoussime
Maritime,Yoto,Yoto 1,Kini-Kondji,,CM-ZUAEI7,CC-SGOPWL,maritime.yoto.yoto-1.kini-kondji
Maritime,Yoto,Yoto 1,Kouvé,,CM-ZUAEI7,CC-7ZTMBN,maritime.yoto.yoto-1.kouve
Maritime,Yoto,Yoto 1,Tabligbo,,CM-ZUAEI7,CC-U2SP5C,maritime.yoto.yoto-1.tabligbo
Maritime,Yoto,Yoto 2,Ahépé,,CM-2QXIC3,CC-GOQ3HM,maritime.yoto.yoto-2.ahepe
Maritime,Yoto,Yoto 2,Tchêkpo,,CM-2QXIC3,CC-3IURHE,maritime.yoto.yoto-2.tchekpo
Maritime,Yoto,Yoto 2,Zafi,,CM-2QXIC3,CC-GX7LDE,maritime.yoto.yoto-2.zafi
Maritime,Yoto,Yoto 3,Essè-Godjin,,CM-IPPY3P,CC-4B4M7R,maritime.yoto.yoto-3.esse-godjin
Maritime,Yoto,Yoto 3,Sédomé,,CM-IPPY3P,CC-K2JLKZ,maritime.yoto.yoto-3.sedome
Maritime,Yoto,Yoto 3,Tokpli,,CM-IPPY3P,CC-JBSU5X,maritime.yoto.yoto-3.tokpli
Maritime,Yoto,Yoto 3,Tométy-Kondji,,CM-IPPY3P,CC-ACBOGO,maritime.yoto.yoto-3.tomety-kondji
Maritime,Zio,Zio 1,Abobo,,CM-AXRGOA,CC-FU5RE7,maritime.zio.zio-1.abobo
Maritime,Zio,Zio 1,Dalavé,,CM-AXRGOA,CC-MJH4D5,maritime.zio.zio-1.dalave
Maritime,Zio,Zio 1,Davié,,CM-AXRGOA,CC-F3IPTI,maritime.zio.zio-1.davie
Maritime,Zio,Zio 1,Djagblé,,CM-AXRGOA,CC-3D6WVN,maritime.zio.zio-1.djagble
Maritime,Zio,Zio 1,Gbatopé,,CM-AXRGOA,CC-IUGCYS,maritime.zio.zio-1.gbatope
Maritime,Zio,Zio 1,Gblainvié,,CM-AXRGOA,CC-XNQLFS,maritime.zio.zio-1.gblainvie
Maritime,Zio,Zio 1,Kpomé,,CM-AXRGOA,CC-P3VEWB,maritime.zio.zio-1.kpome
Maritime,Zio,Zio 1,Tsévié,,CM-AXRGOA,CC-7NYM6J,maritime.zio.zio-1.tsevie
Maritime,Zio,Zio 2,Bolou,,CM-5YHVK6,CC-5WFJ6S,maritime.zio.zio-2.bolou
Maritime,Zio,Zio 2,Kovié,,CM-5YHVK6,CC-5AS7KK,maritime.zio.zio-2.kovie
Maritime,Zio,Zio 2,Mission-Tové,,CM-5YHVK6,CC-SXQJZZ,maritime.zio.zio-2.mission-tove
Maritime,Zio,Zio 2,Wli,,CM-5YHVK6,CC-6DRE3J,maritime.zio.zio-2.wli
Maritime,Zio,Zio 3,Agbélouvé,,CM-45OAAE,CC-RS46PB,maritime.zio.zio-3.agbelouve
Maritime,Zio,Zio 3,Gamé,,CM-45OAAE,CC-VSRPX5,maritime.zio.zio-3.game
Maritime,Zio,Zio 4,Gapé-Centre,,CM-FQSC6B,CC-NPAODL,maritime.zio.zio-4.gape-centre
Maritime,Zio,Zio 4,Gapé-Kpodji,,CM-FQSC6B,CC-FAZC6C,maritime.zio.zio-4.gape-kpodji
Maritime,Agoe-Nyivé,Agoe-Nyivé 1,Agoe-Nyivé,Adjougba,CC-TIAZPC,LC-EWCSYY,maritime.agoe-nyive.agoe-nyive-1.agoe-nyive.adjougba
Maritime,Agoe-Nyivé,Agoe-Nyivé 1,Agoe-Nyivé,Adjougba-Sorad,CC-TIAZPC,LC-J2E5FX,maritime.agoe-nyive.agoe-nyive-1.agoe-nyive.adjougba-sorad
Maritime,Agoe-Nyivé,Agoe-Nyivé 1,Agoe-Nyivé,Agoe Assiyeye,CC-TIAZPC,LC-256WIM,maritime.agoe-nyive.agoe-nyive-1.agoe-nyive.agoe-assiyeye
Maritime,Agoe-Nyivé,Agoe-Nyivé 1,Agoe-Nyivé,Agoe-Nyivé,CC-TIAZPC,LC-WRHDYP,maritime.agoe-nyive.agoe-nyive-1.agoe-nyive.agoe-nyive
Maritime,Agoe-Nyivé,Agoe-Nyivé 1,Agoe-Nyivé,Alogope,CC-TIAZPC,LC-A6XEHI,maritime.agoe-nyive.agoe-nyive-1.agoe-nyive.alogope
Maritime,Agoe-Nyivé,Agoe-Nyivé 1,Agoe-Nyivé,Anome,CC-TIAZPC,LC-5BHS6H,maritime.agoe-nyive.agoe-nyive-1.agoe-nyive.anome
Maritime,Agoe-Nyivé,Agoe-Nyivé 1,Agoe-Nyivé,Apelebime,CC-TIAZPC,LC-PSGUID,maritime.agoe-nyive.agoe-nyive-1.agoe-nyive.apelebime
Maritime,Agoe-Nyivé,Agoe-Nyivé 1,Agoe-Nyivé,Assiyeye,CC-TIAZPC,LC-ZCFMSA,maritime.agoe-nyive.agoe-nyive-1.agoe-nyive.assiyeye
Maritime,Agoe-Nyivé,Agoe-Nyivé 1,Agoe-Nyivé,Atsanve,CC-TIAZPC,LC-E3W7LA,maritime.agoe-nyive.agoe-nyive-1.agoe-nyive.atsanve
Maritime,Agoe-Nyivé,Agoe-Nyivé 1,Agoe-Nyivé,Aveyme,CC-TIAZPC,LC-DAC4M7,maritime.agoe-nyive.agoe-nyive-1.agoe-nyive.aveyme
Maritime,Agoe-Nyivé,Agoe-Nyivé 1,Agoe-Nyivé,Cacaveli,CC-TIAZPC,LC-REWKSK,maritime.agoe-nyive.agoe-nyive-1.agoe-nyive.cacaveli
Centrale,Tchaoudjo,Tchaoudjo 1,Tchalo,Adjorogo,CC-NW2DKC,LC-ITYUS2,centrale.tchaoudjo.tchaoudjo-1.tchalo.adjorogo
Centrale,Tchaoudjo,Tchaoudjo 1,Tchalo,Bavile,CC-NW2DKC,LC-74SFGN,centrale.tchaoudjo.tchaoudjo-1.tchalo.bavile
Centrale,Tchaoudjo,Tchaoudjo 1,Tchalo,Kpalafoulassi,CC-NW2DKC,LC-WPON2D,centrale.tchaoudjo.tchaoudjo-1.tchalo.kpalafoulassi
Centrale,Tchaoudjo,Tchaoudjo 1,Tchalo,Tchalo,CC-NW2DKC,LC-SJQEO5,centrale.tchaoudjo.tchaoudjo-1.tchalo.tchalo
Centrale,Tchaoudjo,Tchaoudjo 2,Lama-Tessi,Abatchang,CC-F3BLJZ,LC-VX75XA,centrale.tchaoudjo.tchaoudjo-2.lama-tessi.abatchang
Centrale,Tchaoudjo,Tchaoudjo 2,Lama-Tessi,Alfa-Kpirou,CC-F3BLJZ,LC-4J2E5H,centrale.tchaoudjo.tchaoudjo-2.lama-tessi.alfa-kpirou
Centrale,Tchaoudjo,Tchaoudjo 2,Lama-Tessi,Aou-Losso,CC-F3BLJZ,LC-GL2X4D,centrale.tchaoudjo.tchaoudjo-2.lama-tessi.aou-losso
